path,text,num_frames,height,width,aspect_ratio,fps,resolution
dataset/bridge/videos/train/2783/rgb.mp4,Move the can to the top of the table.,26,480,640,0.75,3.0,307200
dataset/bridge/videos/train/7863/rgb.mp4,Move the cloth close to the fork.,38,480,640,0.75,3.0,307200
dataset/bridge/videos/train/11296/rgb.mp4,flip pot upright which is in sink,23,480,640,0.75,3.0,307200
dataset/bridge/videos/train/4614/rgb.mp4,Place the yellow toy above the silver bowl.,49,480,640,0.75,3.0,307200
dataset/bridge/videos/train/872/rgb.mp4,Move the blue towel to the right of the spoon,25,480,640,0.75,3.0,307200
dataset/bridge/videos/train/17301/rgb.mp4,put can in pot,28,480,640,0.75,3.0,307200
dataset/bridge/videos/train/15350/rgb.mp4,move the yellow with green checked box from center of the table to top middle of the table,39,480,640,0.75,3.0,307200
dataset/bridge/videos/train/6645/rgb.mp4,Put the silver pan on the yellow rag.,49,480,640,0.75,3.0,307200
dataset/bridge/videos/train/1588/rgb.mp4,pick up blue pen and put into drawer,30,480,640,0.75,3.0,307200
dataset/bridge/videos/train/5832/rgb.mp4,Pick up the pan and place it on the green towel,35,480,640,0.75,3.0,307200
dataset/bridge/videos/train/17265/rgb.mp4,Slide the yellow rag backwards so that it's directly in front of the microwave.,26,480,640,0.75,3.0,307200
dataset/bridge/videos/train/1890/rgb.mp4,put carrot on cutting board,19,480,640,0.75,3.0,307200
dataset/bridge/videos/train/916/rgb.mp4,put pan on towel,48,480,640,0.75,3.0,307200
dataset/bridge/videos/train/4770/rgb.mp4,close microwave,39,480,640,0.75,3.0,307200
dataset/bridge/videos/train/7907/rgb.mp4,moved pot to left side above red spoon,40,480,640,0.75,3.0,307200
dataset/bridge/videos/train/5956/rgb.mp4,Slide the towel in front of the canned food,33,480,640,0.75,3.0,307200
dataset/bridge/videos/train/6721/rgb.mp4,take lid off pot cardboardfence,39,480,640,0.75,3.0,307200
dataset/bridge/videos/train/15234/rgb.mp4,turn lever vertical to front distractors,24,480,640,0.75,3.0,307200
dataset/bridge/videos/train/2937/rgb.mp4,end effector transition from object to object,19,480,640,0.75,3.0,307200
dataset/bridge/videos/train/1740/rgb.mp4,Hold the steel pan from left edge of the table and place it on top right edge of the table.,41,480,640,0.75,3.0,307200
dataset/bridge/videos/train/12255/rgb.mp4,Place the mushroom on the blue cloth.,45,480,640,0.75,3.0,307200
dataset/bridge/videos/train/15198/rgb.mp4,open microwave,39,480,640,0.75,3.0,307200
dataset/bridge/videos/train/10204/rgb.mp4,Place the yellow sigma butter dish at the edge of the table.,44,480,640,0.75,3.0,307200
dataset/bridge/videos/train/3711/rgb.mp4,"Move the canned good back to the wall, next to the silver pot and behind the blue fork.",38,480,640,0.75,3.0,307200
dataset/bridge/videos/train/16393/rgb.mp4,Place the pot on the cloth.,36,480,640,0.75,3.0,307200
dataset/bridge/videos/train/5686/rgb.mp4,put banana in pot cardboard fence,29,480,640,0.75,3.0,307200
dataset/bridge/videos/train/12331/rgb.mp4,Move the spatula to the front edge of the table,49,480,640,0.75,3.0,307200
dataset/bridge/videos/train/1624/rgb.mp4,put knife on cutting board cardboard fence,39,480,640,0.75,3.0,307200
dataset/bridge/videos/train/2853/rgb.mp4,Pick up the red spoon and place it on the right of the blue cloth behind the green bell pepper,45,480,640,0.75,3.0,307200
dataset/bridge/videos/train/3675/rgb.mp4,Move the red fork to the left of the green cloth.,49,480,640,0.75,3.0,307200
dataset/bridge/videos/train/10360/rgb.mp4,Move the yellow spoon to the left of the silver pot.,30,480,640,0.75,3.0,307200
dataset/bridge/videos/train/6995/rgb.mp4,Put the bowl between the sushi and towel.,46,480,640,0.75,3.0,307200
dataset/bridge/videos/train/9771/rgb.mp4,put clothes in laundry machine,34,480,640,0.75,3.0,307200
dataset/bridge/videos/train/18235/rgb.mp4,Put the scrubber on top of the yellow cloth.,29,480,640,0.75,3.0,307200
dataset/bridge/videos/train/22884/rgb.mp4,pick up bowl and put in small4fbox,24,480,640,0.75,3.0,307200
dataset/bridge/videos/train/8957/rgb.mp4,turn faucet left 56,24,480,640,0.75,3.0,307200
dataset/bridge/videos/train/24913/rgb.mp4,put cap on container,24,480,640,0.75,3.0,307200
dataset/bridge/videos/train/9615/rgb.mp4,Move the pot to the left hand side of the table.,39,480,640,0.75,3.0,307200
dataset/bridge/videos/train/24877/rgb.mp4,Move blue cloth directly to the left of silver bowl.,25,480,640,0.75,3.0,307200
dataset/bridge/videos/train/21797/rgb.mp4,put banana in pot cardboard fence,33,480,640,0.75,3.0,307200
dataset/bridge/videos/train/8833/rgb.mp4,Place meat in the frying pan,49,480,640,0.75,3.0,307200
